language,model,year,response,response1,response2,response3,response4,response5,response6,response7
Chinese,anthropic,1910," 1. 美国联邦调查局成立 
2. 日本吞并朝鲜
3. 英国国王爱德华七世登基
4. 世界上第一次飞行邮寄成功 
5. 山地钢琴课被发明", 1. 美国联邦调查局成立 ,2. 日本吞并朝鲜,3. 英国国王爱德华七世登基,4. 世界上第一次飞行邮寄成功 ,5. 山地钢琴课被发明,,
Chinese,anthropic,1910," 1. 口袋巨人号飞船登陆南极洲
2. 英国探险队抵达南极点
3. 中国发生辛亥革命,清王朝被推翻
4. 美国青年学生组织开始一系列的小组活动,逐渐发展成为现代童军运动
5. 美国首次举办国际航空展,标志着航空业蓬勃发展", 1. 口袋巨人号飞船登陆南极洲,2. 英国探险队抵达南极点,"3. 中国发生辛亥革命,清王朝被推翻","4. 美国青年学生组织开始一系列的小组活动,逐渐发展成为现代童军运动","5. 美国首次举办国际航空展,标志着航空业蓬勃发展",,
Chinese,anthropic,1910," 1. 日本吞并朝鲜
2. 俄罗斯帝国末代沙皇尼古拉二世登基 
3. 首艘商用飞机服役
4. 兴昌起义
5. 广州起义", 1. 日本吞并朝鲜,2. 俄罗斯帝国末代沙皇尼古拉二世登基 ,3. 首艘商用飞机服役,4. 兴昌起义,5. 广州起义,,
Chinese,anthropic,1910," 1. 非洲统一展开
2. 法国的葡萄酒短缺与拉罢工
3. 日本吞并朝鲜
4. 英国的国会法案改革
5. 中国的黄河改道", 1. 非洲统一展开,2. 法国的葡萄酒短缺与拉罢工,3. 日本吞并朝鲜,4. 英国的国会法案改革,5. 中国的黄河改道,,
Chinese,anthropic,1910," 1. 辛亥革命
2. 南极探险之争:罗尔德·阿蒙森成功领导挪威探险队到达南极
3. 西班牙古巴革命打败珂鲁特独裁统治
4. 法国洪水
5. 南极大陆初现", 1. 辛亥革命,2. 南极探险之争:罗尔德·阿蒙森成功领导挪威探险队到达南极,3. 西班牙古巴革命打败珂鲁特独裁统治,4. 法国洪水,5. 南极大陆初现,,
Chinese,anthropic,1950," 1. 朝鲜战争爆发
2. 中国进入朝鲜战争
3. 麦卡锡主义兴起
4. 印度独立
5. 台湾海峡爆发二二八事件", 1. 朝鲜战争爆发,2. 中国进入朝鲜战争,3. 麦卡锡主义兴起,4. 印度独立,5. 台湾海峡爆发二二八事件,,
Chinese,anthropic,1950," 1. 朝鲜战争爆发
2. 中华人民共和国成立
3.印度独立
4. 麦卡锡主义兴起
5. 东西德统一", 1. 朝鲜战争爆发,2. 中华人民共和国成立,3.印度独立,4. 麦卡锡主义兴起,5. 东西德统一,,
Chinese,anthropic,1950," 1. 朝鲜战争爆发
2. 中华人民共和国成立 
3.印度独立
4. 麦卡锡主义盛行
5. 阿尔及利亚战争爆发", 1. 朝鲜战争爆发,2. 中华人民共和国成立 ,3.印度独立,4. 麦卡锡主义盛行,5. 阿尔及利亚战争爆发,,
Chinese,anthropic,1950," 1. 朝鲜战争爆发
2. 中华人民共和国成立
3. 印度独立
4. 东南亚条约组织成立 
5. 日本加盟联合国", 1. 朝鲜战争爆发,2. 中华人民共和国成立,3. 印度独立,4. 东南亚条约组织成立 ,5. 日本加盟联合国,,
Chinese,anthropic,1950," 1. 朝鲜战争爆发
2. 中华人民共和国成立 
3. 麦卡锡主义盛行
4. 韩国独立
5. 越南劳动党建立越南民主共和国", 1. 朝鲜战争爆发,2. 中华人民共和国成立 ,3. 麦卡锡主义盛行,4. 韩国独立,5. 越南劳动党建立越南民主共和国,,
Chinese,anthropic,1966," 1. 无产阶级文化大革命
2. 美国宇航员约翰·格伦登陆月球 
3. 毛泽东发动“反对资产阶级司令部”运动
4. 第一颗人造卫星 Skylab 发射升空
5. 美苏首次载人飞船对接和会合", 1. 无产阶级文化大革命,2. 美国宇航员约翰·格伦登陆月球 ,3. 毛泽东发动“反对资产阶级司令部”运动,4. 第一颗人造卫星 Skylab 发射升空,5. 美苏首次载人飞船对接和会合,,
Chinese,anthropic,1966," 1. 文化大革命开始 
2. 美国开始在越南南方投入地面部队 
3. 尼泊尔王室解体,印度获得控制权
4. 巴基斯坦分治,东巴基斯坦成为孟加拉国  
5. 中苏关系破裂
", 1. 文化大革命开始 ,2. 美国开始在越南南方投入地面部队 ,"3. 尼泊尔王室解体,印度获得控制权","4. 巴基斯坦分治,东巴基斯坦成为孟加拉国  ",5. 中苏关系破裂,,
Chinese,anthropic,1966," 1. 文化大革命开始 
2. 毛泽东发表《五•一六通知》
3. 中国首次成功引爆原子弹
4. 苏联共产党中央委员会总书记赫鲁晓夫下台
5. 美国宇航员亚瑟•格里菲斯登上月球 ", 1. 文化大革命开始 ,2. 毛泽东发表《五•一六通知》,3. 中国首次成功引爆原子弹,4. 苏联共产党中央委员会总书记赫鲁晓夫下台,5. 美国宇航员亚瑟•格里菲斯登上月球 ,,
Chinese,anthropic,1966," 1. 文化大革命
2. 中苏边界冲突
3. 英国举行第一届世界杯足球赛 
4. 美国航天员首次登月
5. 毛泽东发表《炮打司令部》的大字报", 1. 文化大革命,2. 中苏边界冲突,3. 英国举行第一届世界杯足球赛 ,4. 美国航天员首次登月,5. 毛泽东发表《炮打司令部》的大字报,,
Chinese,anthropic,1966," 1. 文化大革命开始 
2. 毛泽东发表《关于无产阶级文化大革命的决定》
3. 红卫兵运动兴起
4. 中国第一颗自然人造地球卫星“东方红一号”成功发射
5. 邓小平倒台并被隔离审查", 1. 文化大革命开始 ,2. 毛泽东发表《关于无产阶级文化大革命的决定》,3. 红卫兵运动兴起,4. 中国第一颗自然人造地球卫星“东方红一号”成功发射,5. 邓小平倒台并被隔离审查,,
Chinese,anthropic,1968," 1. 越南战争 

2. 美国黑人民权运动

3. 北约入侵捷克斯洛伐克

4. 法国五月事件

5. 内地研究生运动", 1. 越南战争 ,2. 美国黑人民权运动,3. 北约入侵捷克斯洛伐克,4. 法国五月事件,5. 内地研究生运动,,
Chinese,anthropic,1968," 1. 越南的春节攻势
2. 马丁路德金遇刺
3. 法国五月风暴 
4. 美国航天员环绕月球 
5. 捷克斯洛伐克的“布拉格之春”被苏联镇压", 1. 越南的春节攻势,2. 马丁路德金遇刺,3. 法国五月风暴 ,4. 美国航天员环绕月球 ,5. 捷克斯洛伐克的“布拉格之春”被苏联镇压,,
Chinese,anthropic,1968," 1. 越南战争的春节攻势
2. 美国总统罗伯特·肯尼迪遇刺身亡
3. 布拉格之春运动起义
4. 伍德斯托克音乐节
5. 阿波罗8号飞船载人环绕月球", 1. 越南战争的春节攻势,2. 美国总统罗伯特·肯尼迪遇刺身亡,3. 布拉格之春运动起义,4. 伍德斯托克音乐节,5. 阿波罗8号飞船载人环绕月球,,
Chinese,anthropic,1968," 1. 越南特许血案
2. 苏联入侵捷克斯洛伐克 
3. 巴西军事政变    
4. 罗伯特·肯尼迪遇刺    
5. 文化大革命", 1. 越南特许血案,2. 苏联入侵捷克斯洛伐克 ,3. 巴西军事政变    ,4. 罗伯特·肯尼迪遇刺    ,5. 文化大革命,,
Chinese,anthropic,1968," 1. 越南四大新闻记者试图公开曝光美国在越南的真实战争局面,被捕入狱。
2. 苏联入侵捷克斯洛伐克,结束“布拉格之春”。
3. 马丁·路德·金遇刺身亡。
4. 巴黎五月风暴,法国爆发大规模学生运动与罢工。 
5. 阿波罗8号首次载人环月。"," 1. 越南四大新闻记者试图公开曝光美国在越南的真实战争局面,被捕入狱。","2. 苏联入侵捷克斯洛伐克,结束“布拉格之春”。",3. 马丁·路德·金遇刺身亡。,"4. 巴黎五月风暴,法国爆发大规模学生运动与罢工。 ",5. 阿波罗8号首次载人环月。,,
Chinese,anthropic,2020," 1. 新冠疫情爆发
2. 乔治·弗洛伊德之死及其引发的全球反种族主义浪潮  
3. 贝鲁特大爆炸
4. 美国总统大选
5. 英国 脱欧", 1. 新冠疫情爆发,2. 乔治·弗洛伊德之死及其引发的全球反种族主义浪潮  ,3. 贝鲁特大爆炸,4. 美国总统大选,5. 英国 脱欧,,
Chinese,anthropic,2020," 1. 新冠肺炎疫情
2. 乔治·弗洛伊德之死及其引发的抗议活动 
3. 美大选
4. 英国脱欧 
5. 野火肆虐澳大利亚", 1. 新冠肺炎疫情,2. 乔治·弗洛伊德之死及其引发的抗议活动 ,3. 美大选,4. 英国脱欧 ,5. 野火肆虐澳大利亚,,
Chinese,anthropic,2020," 1. 新冠肺炎疫情 
2. 乔治·弗洛伊德之死和“黑人的命也是命”运动 
3. 美国总统选举 
4. 英国正式脱欧 
5. 贝鲁特巨爆炸", 1. 新冠肺炎疫情 ,2. 乔治·弗洛伊德之死和“黑人的命也是命”运动 ,3. 美国总统选举 ,4. 英国正式脱欧 ,5. 贝鲁特巨爆炸,,
Chinese,anthropic,2020," 1. 新冠肺炎疫情 
2. 乔治·弗洛伊德之死和其引发的抗议活动
3. 美国总统大选 
4. 英国脱欧 
5. 北京冬奥会  ", 1. 新冠肺炎疫情 ,2. 乔治·弗洛伊德之死和其引发的抗议活动,3. 美国总统大选 ,4. 英国脱欧 ,5. 北京冬奥会  ,,
Chinese,anthropic,2020," 1. 新冠疫情大流行
2. 乔治·弗洛伊德遇害和随后爆发的反种族主义运动 
3. 美国大选
4. 英国正式退出欧盟
5. 香港国家安全法生效", 1. 新冠疫情大流行,2. 乔治·弗洛伊德遇害和随后爆发的反种族主义运动 ,3. 美国大选,4. 英国正式退出欧盟,5. 香港国家安全法生效,,
French,anthropic,610," 1. Mort de l'empereur byzantin Phocas 
2. Avènement d'Héraclius
3. Prise de Jérusalem par les Perses
4. Mort du pape Boniface IV 
5. Érection de la mosquée al-Aqsa à Jérusalem", 1. Mort de l'empereur byzantin Phocas ,2. Avènement d'Héraclius,3. Prise de Jérusalem par les Perses,4. Mort du pape Boniface IV ,5. Érection de la mosquée al-Aqsa à Jérusalem,,
French,anthropic,610," 1. Décès de l'empereur byzantin Phocas 
2. Couronnement d'Héraclius comme empereur byzantin
3. Prise de Jérusalem par les Perses sassanides
4. Décès du pape Boniface IV
5. Fondation de la Grande Mosquée de Nishapur (Iran)", 1. Décès de l'empereur byzantin Phocas ,2. Couronnement d'Héraclius comme empereur byzantin,3. Prise de Jérusalem par les Perses sassanides,4. Décès du pape Boniface IV,5. Fondation de la Grande Mosquée de Nishapur (Iran),,
French,anthropic,610," 1. Mort de Khosrau II 
2. Fondation de l'Université de Gondi Shapur
3. Destruction du temple d'Apollon à Délos 
4. Conquête de Jérusalem par les Perses Sassanides
5. Fondation du royaume berbère antique de Tingi par le chef amazigh Sabit", 1. Mort de Khosrau II ,2. Fondation de l'Université de Gondi Shapur,3. Destruction du temple d'Apollon à Délos ,4. Conquête de Jérusalem par les Perses Sassanides,5. Fondation du royaume berbère antique de Tingi par le chef amazigh Sabit,,
French,anthropic,610," 1. Fondation de l'Islam 
2. Mort de Phocas 
3. Héraclius devient empereur romain d'Orient
4. Les Perses s'emparent de Jérusalem
5. Erwig devient roi des Visigoths", 1. Fondation de l'Islam ,2. Mort de Phocas ,3. Héraclius devient empereur romain d'Orient,4. Les Perses s'emparent de Jérusalem,5. Erwig devient roi des Visigoths,,
French,anthropic,610," 1. Mort de l'empereur Heraclius Ier
2. Début de la conquête musulmane de l'Égypte 
3. Fondation de l'abbaye de Saint-Gall
4. Fondation du premier temple au Japon, le Hōryū-ji
5. Mort de Valdetrude, reine des Lombards", 1. Mort de l'empereur Heraclius Ier,2. Début de la conquête musulmane de l'Égypte ,3. Fondation de l'abbaye de Saint-Gall,"4. Fondation du premier temple au Japon, le Hōryū-ji","5. Mort de Valdetrude, reine des Lombards",,
French,anthropic,800," 1. Charlemagne couronné empereur par le pape Léon III 
2. Le début de la dynastie Tang en Chine
3. La fondation de l'abbaye de Fulda en Allemagne 
4. Le début de la dynastie Chola en Inde du Sud
5. La conquête de la Bretagne par les Vikings", 1. Charlemagne couronné empereur par le pape Léon III ,2. Le début de la dynastie Tang en Chine,3. La fondation de l'abbaye de Fulda en Allemagne ,4. Le début de la dynastie Chola en Inde du Sud,5. La conquête de la Bretagne par les Vikings,,
French,anthropic,800," 1. Charlemagne est couronné empereur d'Occident 
2. Le califat abbasside atteint son apogée sous le règne de Haroun al-Rachid
3. La dynastie Tang en Chine atteint son apogée
4. Début de la mission viking en Europe 
5. Fondation du premier royaume russe de Novgorod", 1. Charlemagne est couronné empereur d'Occident ,2. Le califat abbasside atteint son apogée sous le règne de Haroun al-Rachid,3. La dynastie Tang en Chine atteint son apogée,4. Début de la mission viking en Europe ,5. Fondation du premier royaume russe de Novgorod,,
French,anthropic,800," 1. Charlemagne couronné empereur par le pape Léon III.
2. La conquête de la Corée par le royaume chinois de Tang.
3. La fondation de la dynastie Qing en Chine. 
4. Le début de la construction de la grande mosquée des Omeyyades à Damas.
5. La mort du calife abbasside Haroun al-Rachid.", 1. Charlemagne couronné empereur par le pape Léon III.,2. La conquête de la Corée par le royaume chinois de Tang.,3. La fondation de la dynastie Qing en Chine. ,4. Le début de la construction de la grande mosquée des Omeyyades à Damas.,5. La mort du calife abbasside Haroun al-Rachid.,,
French,anthropic,800," 1. Charlemagne couronné empereur par le pape Léon III 
2. Premiers raids vikings en Europe de l'Ouest
3. Fondation du royaume galicien par le comte Vimara Pérez
4. Mort de Haroun ar-Rachid, calife abbasside de Bagdad
5. Fondation de la dynastie Shang en Chine", 1. Charlemagne couronné empereur par le pape Léon III ,2. Premiers raids vikings en Europe de l'Ouest,3. Fondation du royaume galicien par le comte Vimara Pérez,"4. Mort de Haroun ar-Rachid, calife abbasside de Bagdad",5. Fondation de la dynastie Shang en Chine,,
French,anthropic,800," 1. Charlemagne couronné empereur par le pape Léon III
2. Premiers raids vikings (sur les îles Shetland et Orcades) 
3. Début de la dynastie Saffaride en Perse
4. Mort de l'impératrice Irene d'Athènes et couronnement de Nicéphore Ier
5. Fondation du royaume du Tibet par Lha-tho-tho-ri", 1. Charlemagne couronné empereur par le pape Léon III,2. Premiers raids vikings (sur les îles Shetland et Orcades) ,3. Début de la dynastie Saffaride en Perse,4. Mort de l'impératrice Irene d'Athènes et couronnement de Nicéphore Ier,5. Fondation du royaume du Tibet par Lha-tho-tho-ri,,
French,anthropic,1271," 1. Abdication de la dynastie Song en Chine et fin de la dynastie. 
2. Mort de Louis IX de France (Saint Louis)  
3. Victoire mongole sur les mamelouks à la bataille d'Elbistan
4. Construction de la Basilique San Francesco à Assise, Italie. 
5. Traité d'alliance entre le Khanat mongol et le Sultanat de Delhi en Inde.", 1. Abdication de la dynastie Song en Chine et fin de la dynastie. ,2. Mort de Louis IX de France (Saint Louis)  ,3. Victoire mongole sur les mamelouks à la bataille d'Elbistan,"4. Construction de la Basilique San Francesco à Assise, Italie. ",5. Traité d'alliance entre le Khanat mongol et le Sultanat de Delhi en Inde.,,
French,anthropic,1271," 1. Khanat ilkhanide
2. Edward I devient roi d'Angleterre 
3. Premier recensement en Angleterre
4. Début de la période Kamakura au Japon
5. Fondation de l'observatoire astronomique de Maragheh", 1. Khanat ilkhanide,2. Edward I devient roi d'Angleterre ,3. Premier recensement en Angleterre,4. Début de la période Kamakura au Japon,5. Fondation de l'observatoire astronomique de Maragheh,,
French,anthropic,1271," 1. Prise d'Antioche par les Mamelouks 
2. Traité d'alliance entre la Castille et le Maroc contre le royaume de Grenade 
3. Mort de saint Thomas d'Aquin
4. Khanat de Qipchaq fondé par Nogaï et son frère Taraqqaï 
5. Début de la Deuxième croisade de Louis IX", 1. Prise d'Antioche par les Mamelouks ,2. Traité d'alliance entre la Castille et le Maroc contre le royaume de Grenade ,3. Mort de saint Thomas d'Aquin,4. Khanat de Qipchaq fondé par Nogaï et son frère Taraqqaï ,5. Début de la Deuxième croisade de Louis IX,,
French,anthropic,1271," 1. La mort de Louis IX de France
2. L'ascension au trône de Philippe III de France 
3. La naissance de Marco Polo
4. Le début de la construction de la cathédrale de Narbonne
5. La bataille de Torockó", 1. La mort de Louis IX de France,2. L'ascension au trône de Philippe III de France ,3. La naissance de Marco Polo,4. Le début de la construction de la cathédrale de Narbonne,5. La bataille de Torockó,,
French,anthropic,1271," 1. Marco Polo commence son voyage vers la Chine 
2. Les mongoles dirigés par Kublai Khan conquièrent le royaume de Song du Sud en Chine
3. Le sultan mamelouk Baibars conquiert le royaume chrétien de Jérusalem
4. Les Habsbourgs acquièrent la Styrie et deviennent une puissance en Autriche 
5. Fondation de l'Eglise orthodoxe de Serbie à partir de l'Eglise orthodoxe de Bulgarie", 1. Marco Polo commence son voyage vers la Chine ,2. Les mongoles dirigés par Kublai Khan conquièrent le royaume de Song du Sud en Chine,3. Le sultan mamelouk Baibars conquiert le royaume chrétien de Jérusalem,4. Les Habsbourgs acquièrent la Styrie et deviennent une puissance en Autriche ,5. Fondation de l'Eglise orthodoxe de Serbie à partir de l'Eglise orthodoxe de Bulgarie,,
French,anthropic,1392," 1. Naissance de Ashikaga Yoshimitsu 
2. Invasion de la Corée par la dynastie Joseon
3. Mystère de la cathédrale de Norwich 
4. Bataille de Aljubarrota entre le Portugal et le Royaume de Castille
5. Élection du Pape Boniface IX", 1. Naissance de Ashikaga Yoshimitsu ,2. Invasion de la Corée par la dynastie Joseon,3. Mystère de la cathédrale de Norwich ,4. Bataille de Aljubarrota entre le Portugal et le Royaume de Castille,5. Élection du Pape Boniface IX,,
